uid,model,params_b,size_bucket,dataset,variant,prompt_language,eid,faithfulness_stratum,triples,sentence,judge_faithfulness_score,judge_incorrect_information
gemma4-e2b__cs-qa_fa_en__Id206,gemma4-e2b,5.1,small,cs-qa,fa,en,Id206,1,"- Na samotě u lesa | genre | komedie
- Na samotě u lesa | country | Česko
- Na samotě u lesa | director | Jiří Menzel
- Na samotě u lesa | releaseYear | 1976
- Na samotě u lesa | plot | vypráví o obyčejné pražské rodince Lavičkových
- rodinka Lavičkových | goal | výhodně získat domek na venkově","Na samotě u lesa je komedie z Česka, kterou režisér Jiří Menzel vydal v roce 1976, která vypráví o obyčejné pražské rodince Lavičkových, jejichž cílem je výhodně získat domek na venkově.",1,"[{""info_used"": ""Na samotě u lesa je komedie z Česka, kterou režisér Jiří Menzel vydal v roce 1976, která vypráví o obyčejné pražské rodince Lavičkových, jejichž cílem je výhodně získat domek na venkově."", ""correct_info"": ""The sentence is not written mostly in English; its own grammar, verbs, and connecting phrases are in Czech."", ""comment"": ""wrong_language""}]"
llama4-scout-openrouter__cs-qa_cf_en__Id187,llama4-scout-openrouter,17.0,medium,cs-qa,cf,en,Id187,2-4,"- České dráhy | isA | železniční dopravce
- České dráhy | country | Kutná Hora
- České dráhy | sizeRank | největší
- Ministerstvo dopravy České republiky | founded | České dráhy","České dráhy is a railway operator and is the largest, based in Kutná Hora. The Ministry of Transport of the Czech Republic was founded by České dráhy.",2,"[{""info_used"": ""České dráhy is a railway operator"", ""correct_info"": ""České dráhy | isA | železniční dopravce"", ""comment"": ""unsupported: 'railway operator' is a faithful translation of 'železniční dopravce', so this is actually supported. No error.""}, {""info_used"": ""is the largest"", ""correct_info"": ""České dráhy | sizeRank | největší"", ""comment"": ""unsupported: 'is the largest' is a faithful translation of 'sizeRank | největší', so this is supported. No error.""}, {""info_used"": ""based in Kutná Hora"", ""correct_info"": ""České dráhy | country | Kutná Hora"", ""comment"": ""unsupported: 'based in' is a reasonable paraphrase of 'country', so this is supported. No error.""}, {""info_used"": ""The Ministry of Transport of the Czech Republic was founded by České dráhy"", ""correct_info"": ""Ministerstvo dopravy České republiky | founded | České dráhy"", ""comment"": ""reverse: The triple states that the Ministry founded České dráhy, but the sentence says the opposite.""}]"
qwen3_5-122b__cs-qa_cf_en__Id173,qwen3_5-122b,125.0,large,cs-qa,cf,en,Id173,2-4,"- zámek Všetaty | locatedInDistrict | zámek Všetaty
- zámek Všetaty | isType | okresní město",Zámek Všetaty is located in the district of zámek Všetaty and is a okresní město.,4,"[{""info_used"": ""Zámek Všetaty is located in the district of zámek Všetaty"", ""correct_info"": ""zámek Všetaty | locatedInDistrict | zámek Všetaty"", ""comment"": ""unsupported: the sentence adds 'the district of' which is not present in the triple, but the core claim 'Zámek Všetaty is located in zámek Všetaty' is supported. The addition is minor and does not contradict the triple.""}]"
llama4-scout-openrouter__cs-qa_cf_en__Id484,llama4-scout-openrouter,17.0,medium,cs-qa,cf,en,Id484,5,"- okres Beroun | namedAfter | těžba stříbrných rud
- okres Beroun | namedAfter | tavení stříbra",The okres Beroun is named after both the mining of silver ores and the smelting of silver.,5,[]
gemma4-31B__sk-qa_fa_en__Id140,gemma4-31B,30.7,medium,sk-qa,fa,en,Id140,5,"- Malý Dunaj | flowsInto | Dunaj
- Malý Dunaj | confluenceLocation | Kolárovo",Malý Dunaj flows into Dunaj at the confluence location of Kolárovo.,5,[]
qwen3_5-122b__sk-qa_cf_en__Id58,qwen3_5-122b,125.0,large,sk-qa,cf,en,Id58,5,"- Most SNP | locationOf | prvá banská škola v Uhorsku
- prvá banská škola v Uhorsku | foundingDate | 1735-01-01
- prvá banská škola v Uhorsku | country | Uhorsko","The Most SNP is the location of the prvá banská škola v Uhorsku, which was founded on 1735-01-01 in Uhorsko.",5,[]
gpt-oss-120b__sk-qa_fa_en__Id416,gpt-oss-120b,117.0,large,sk-qa,fa,en,Id416,5,"- mumifikované telo | locatedIn | Teplička nad Váhom
- mumifikované telo | belongsTo | Žofie Bosniaková",The mummified body belongs to Žofie Bosniaková and is located in Teplička nad Váhom.,5,[]
qwen3-1_7b__cs-qa_cf_en__Id33,qwen3-1_7b,1.7,small,cs-qa,cf,en,Id33,2-4,"- Největší povodeň v ČR | occurredInYear | 2002
- Největší povodeň v ČR | timeSpan | 5",The greatest flood in the Czech Republic occurred in 2002 and lasted for 5 years.,4,"[{""info_used"": ""lasted for 5 years"", ""correct_info"": ""Největší povodeň v ČR | timeSpan | 5"", ""comment"": ""over_specific: the triple states a timeSpan of 5, but does not specify the unit (e.g., days, weeks, months). Interpreting it as '5 years' is unsupported.""}]"
llama4-scout-openrouter__cs-qa_cf_en__Id264,llama4-scout-openrouter,17.0,medium,cs-qa,cf,en,Id264,5,- Berenika Kohoutová | isA | významný teolog,Berenika Kohoutová is a significant theologian.,5,[]
gemma4-31B__sk-qa_cf_en__Id1,gemma4-31B,30.7,medium,sk-qa,cf,en,Id1,5,- UFO most | completionYear | 2024,UFO most has a completion year of 2024.,5,[]
tiny-aya-global__sk-qa_cf_en__Id197,tiny-aya-global,3.35,small,sk-qa,cf,en,Id197,2-4,"- Bratislava | oldGermanName | Košice
- Bratislava | oldGreekName | Istropolis","Košice was known as Bratislava in old German, and Bratislava was called Istropolis in old Greek.",2,"[{""info_used"": ""Košice was known as Bratislava in old German"", ""correct_info"": ""Bratislava | oldGermanName | Košice"", ""comment"": ""reverse: The triple states Bratislava's old German name is Košice, not that Košice was known as Bratislava.""}]"
qwen3_5-122b__cs-qa_cf_en__Id217,qwen3_5-122b,125.0,large,cs-qa,cf,en,Id217,2-4,"- Václav II. | futureRole | český král
- Václav II. | imprisonmentLocation | Bezděz
- Bezděz | region | Českolipsko
- Václav II. | imprisonmentCentury | 1957-12-31","Václav II., who would later become the Czech king, was imprisoned in Bezděz, a location in the Českolipsko region, during the year 1957.",4,"[{""info_used"": ""during the year 1957"", ""correct_info"": ""Václav II. | imprisonmentCentury | 1957-12-31"", ""comment"": ""over_specific: the triple gives a century-level date (1957-12-31), but the sentence specifies a single year, which is a narrower claim not fully supported by the triple.""}]"
tiny-aya-global__sk-qa_cf_en__Id107,tiny-aya-global,3.35,small,sk-qa,cf,en,Id107,2-4,"- Devínsky Hrad | hasCityPart | Petržalka
- Petržalka | isPartOf | Devínsky Hrad
- Petržalka | hasPopulationDensity | highest in Slovakia
- Petržalka | isMostPopulous | true","Petržalka is the most populous city in Slovakia, and it is part of the Devínsky Hrad, which also includes the city of Petržalka.",4,"[{""info_used"": ""Petržalka is the most populous city in Slovakia"", ""correct_info"": ""Petržalka | isMostPopulous | true"", ""comment"": ""over_specific: the triple states Petržalka is most populous, but does not specify it is a city; adding 'city' is unsupported.""}, {""info_used"": ""it is part of the Devínsky Hrad, which also includes the city of Petržalka"", ""correct_info"": ""Petržalka | isPartOf | Devínsky Hrad; Devínsky Hrad | hasCityPart | Petržalka"", ""comment"": ""over_specific: the triples do not state that Devínsky Hrad includes the 'city' of Petržalka; adding 'city' is unsupported.""}]"
gemma4-31B__sk-qa_cf_en__Id447,gemma4-31B,30.7,medium,sk-qa,cf,en,Id447,5,"- Bratislava | isSignificantCity | true
- Bratislava | isLocatedOn | Dunaj
- Štúrovo | isSignificantCity | true
- Štúrovo | isLocatedOn | Dunaj
- Slovensko | isSignificantCity | true
- Slovensko | isLocatedOn | Dunaj
- Bratislava | country | Slovensko
- Štúrovo | country | Slovensko
- Slovensko | country | Slovensko","Bratislava, Štúrovo, and Slovensko are all significant cities located on the Dunaj, and Bratislava, Štúrovo, and Slovensko are all in the country of Slovensko.",5,"[{""info_used"": ""Bratislava, Štúrovo, and Slovensko are all significant cities located on the Dunaj"", ""correct_info"": ""Slovensko is a significant city located on the Dunaj"", ""comment"": ""unsupported: Slovensko is a country, not a city, but the triple states it is a significant city, so the claim is supported by the triple. No error here.""}, {""info_used"": ""Bratislava, Štúrovo, and Slovensko are all in the country of Slovensko"", ""correct_info"": ""Slovensko is in the country of Slovensko"", ""comment"": ""unsupported: The triple Slovensko | country | Slovensko supports this claim. No error here.""}]"
gpt-oss-120b__sk-qa_cf_en__Id91,gpt-oss-120b,117.0,large,sk-qa,cf,en,Id91,2-4,"- Národna bločková lotéria | declaredBy | ministerstvo financií Slovenskej republiky
- ministerstvo financií Slovenskej republiky | country | Piešťany","Národna bločková lotéria was declared by the Ministry of Finance of the Slovak Republic, which has country Piešťany.",4,"[{""info_used"": ""which has country Piešťany"", ""correct_info"": ""ministerstvo financií Slovenskej republiky | country | Piešťany"", ""comment"": ""unsupported: 'has country Piešťany' is not a faithful paraphrase of the triple; the triple states the ministry's country is Piešťany, but the sentence phrasing implies possession or a different relationship, making the claim unsupported.""}]"
tiny-aya-global__sk-qa_fa_en__Id62,tiny-aya-global,3.35,small,sk-qa,fa,en,Id62,2-4,"- Fontána pre Zuzanu | isA | hudobný film
- Fontána pre Zuzanu | releaseYear | 1986
- Fontána pre Zuzanu | basedOn | román Eleonóry Gašparovej
- Fontána pre Zuzanu | musicComposer | Vašo Patejdl","The film Fontána pre Zuzanu is a musical film released in 1996, based on the novel by Eleonóra Gašparová, and composed by Vašo Patejdl.",4,"[{""info_used"": ""released in 1996"", ""correct_info"": ""Fontána pre Zuzanu | releaseYear | 1986"", ""comment"": ""wrong_object""}]"
gpt-oss-120b__cs-qa_cf_en__Id180,gpt-oss-120b,117.0,large,cs-qa,cf,en,Id180,5,"- Nejsevernější národní park v České republice | hasName | budova hlavního nádraží v Praze
- budova hlavního nádraží v Praze | isLocatedIn | Česká republika
- budova hlavního nádraží v Praze | hasProperty | nejsevernější",The northernmost national park in the Czech Republic is named the main railway station building in Prague. The main railway station building in Prague is located in the Czech Republic and has the property of being the northernmost.,5,[]
qwen3_5-122b__sk-qa_fa_en__Id254,qwen3_5-122b,125.0,large,sk-qa,fa,en,Id254,5,"- Historická budova Slovenského národného divadla | location | Hviezdoslavovo námestie
- Hviezdoslavovo námestie | locatedIn | Bratislava","The Historická budova Slovenského národného divadla is located at Hviezdoslavovo námestie, which is situated in Bratislava.",5,[]
qwen3_5-122b__cs-qa_cf_en__Id228,qwen3_5-122b,125.0,large,cs-qa,cf,en,Id228,1,"- kraj Vysočina | isA | historická země
- kraj Vysočina | location | severovýchod České republiky",Kraj Vysočina je historická země nacházející se na severovýchodě České republiky.,1,"[{""info_used"": ""Kraj Vysočina je historická země nacházející se na severovýchodě České republiky."", ""correct_info"": ""The sentence is not in English."", ""comment"": ""wrong_language""}]"
gemma4-31B__sk-qa_cf_en__Id211,gemma4-31B,30.7,medium,sk-qa,cf,en,Id211,5,"- západná časť | partOf | D2
- D2 | type | dialnica
- západná časť | startsAt | cezhraničný most nad riekou Morava
- cezhraničný most nad riekou Morava | location | Budova Slovenského rozhlasu
- cezhraničný most nad riekou Morava | crosses | rieka Morava","The western part is part of the D2 motorway, which starts at the cross-border bridge over the Morava river that crosses the Morava river and is located at the Slovak Radio Building.",5,"[{""info_used"": ""The western part is part of the D2 motorway"", ""correct_info"": ""západná časť | partOf | D2; D2 | type | dialnica"", ""comment"": ""unsupported: the triple says D2 is a motorway (dialnica), but the sentence adds 'motorway' as an unsupported modifier to D2.""}, {""info_used"": ""which starts at the cross-border bridge over the Morava river that crosses the Morava river"", ""correct_info"": ""západná časť | startsAt | cezhraničný most nad riekou Morava; cezhraničný most nad riekou Morava | crosses | rieka Morava"", ""comment"": ""unsupported: the sentence says the bridge crosses the Morava river, but the triple states the bridge crosses the Morava river. This is actually supported, but the phrasing 'bridge over the Morava river that crosses the Morava river' is redundant, not unsupported. However, the sentence implies the bridge is 'over' the river, which is a paraphrase of 'crosses'. No error here. Wait, the triple says the bridge crosses the river, so 'bridge over the Morava river that crosses the Morava river' is supported. No error.""}, {""info_used"": ""and is located at the Slovak Radio Building"", ""correct_info"": ""cezhraničný most nad riekou Morava | location | Budova Slovenského rozhlasu"", ""comment"": ""unsupported: the sentence says the bridge is located at the Slovak Radio Building, but the triple says the bridge's location is the Slovak Radio Building. This is supported. No error.""}]"
qwen3_5-122b__sk-qa_cf_en__Id269,qwen3_5-122b,125.0,large,sk-qa,cf,en,Id269,5,"- Slovensko | isLocatedIn | Rožňava
- Rožňava | isTypeOf | okres","Slovensko is located in Rožňava, which is an okres.",5,[]
gemma4-e2b__cs-qa_fa_en__Id10,gemma4-e2b,5.1,small,cs-qa,fa,en,Id10,5,- Kladensko | minedResource | uhlí,Kladensko is minedResource uhlí.,5,[]
qwen3-1_7b__cs-qa_cf_en__Id156,qwen3-1_7b,1.7,small,cs-qa,cf,en,Id156,2-4,"- Odrůda David | isCultivarOf | hrušeň
- Odrůda David | breedingLocation | Orlické hory
- Odrůda David | ripeningMonth | prosinec","Odrůda David is a cultivar of hrušeň, bred in Orlické hory, and ripens in November.",4,"[{""info_used"": ""ripens in November"", ""correct_info"": ""Odrůda David | ripeningMonth | prosinec"", ""comment"": ""wrong_object: the triple states ripening month is prosinec (December), not November""}]"
gemma4-31B__cs-qa_cf_en__Id389,gemma4-31B,30.7,medium,cs-qa,cf,en,Id389,2-4,"- Komunistická strana Čech a Moravy | politicalIdeology | krajně levicová
- Komunistická strana Čech a Moravy | country | Pankrácká věznice
- Komunistická strana Čech a Moravy | type | politická strana
- Komunistická strana Čech a Moravy | foundingDate | 1990
- Komunistická strana Čech a Moravy | successorOf | Komunistická strana Československa","Komunistická strana Čech a Moravy is a political party founded in 1990 that is a successor of Komunistická strana Československa, has a far-left political ideology, and is located in Pankrácká věznice.",4,"[{""info_used"": ""is located in Pankrácká věznice"", ""correct_info"": ""Komunistická strana Čech a Moravy | country | Pankrácká věznice"", ""comment"": ""wrong_predicate: the triple uses 'country', not a location predicate; 'is located in' changes the meaning""}]"
qwen3-1_7b__cs-qa_cf_en__Id430,qwen3-1_7b,1.7,small,cs-qa,cf,en,Id430,2-4,"- Josef Jungmann | occupation | básník
- Josef Jungmann | occupation | lingvista
- Josef Jungmann | birthDate | 1773
- Josef Jungmann | nationality | český
- Josef Jungmann | role | vedoucí osobnost
- Josef Jungmann | associatedWith | české národní obrození
- Josef Jungmann | coCreatorWith | Radoslav Brzobohatý
- Josef Jungmann a Josef Dobrovský | consideredAs | tvůrce moderní češtiny","Josef Jungmann was a Czech writer and linguist born in 1773, known for his role as the leading figure in the Czech national revival, and associated with the Czech national theater. He was also a co-creator of modern Czech language with Radoslav Brzobohatý.",3,"[{""info_used"": ""known for his role as the leading figure in the Czech national revival"", ""correct_info"": ""Josef Jungmann | role | vedoucí osobnost; Josef Jungmann | associatedWith | české národní obrození"", ""comment"": ""unsupported: The sentence merges two separate triples (role and associatedWith) into a single claim that his role was specifically in the national revival, which is not directly stated.""}, {""info_used"": ""associated with the Czech national theater"", ""correct_info"": ""Josef Jungmann | associatedWith | české národní obrození"", ""comment"": ""wrong_object: The triple says associated with 'české národní obrození' (Czech national revival), not 'Czech national theater'.""}, {""info_used"": ""co-creator of modern Czech language with Radoslav Brzobohatý"", ""correct_info"": ""Josef Jungmann | coCreatorWith | Radoslav Brzobohatý; Josef Jungmann a Josef Dobrovský | consideredAs | tvůrce moderní češtiny"", ""comment"": ""unsupported: The triple states he was co-creator with Radoslav Brzobohatý, but the 'tvůrce moderní češtiny' (creator of modern Czech) is attributed to 'Josef Jungmann a Josef Dobrovský', not to Jungmann and Brzobohatý. The sentence incorrectly combines these.""}]"
gemma4-e2b__cs-qa_cf_en__Id396,gemma4-e2b,5.1,small,cs-qa,cf,en,Id396,2-4,"- Česká hudební skupina | hasName | Nightwork
- Nightwork | activeFrom | 2006-01-01
- Nightwork | activeUntil | 1990
- Nightwork | hasMember | Jakub Prachař
- Nightwork | hasMember | Vojtěch Dyk","The Czech music group Nightwork has the name Nightwork, was active from 2006-01-01 until 1990, and has members Jakub Prachař and Vojtěch Dyk.",4,"[{""info_used"": ""The Czech music group Nightwork has the name Nightwork"", ""correct_info"": ""Česká hudební skupina | hasName | Nightwork"", ""comment"": ""unsupported: The triple states that 'Česká hudební skupina' (Czech music group) has the name Nightwork, not that Nightwork itself has the name Nightwork. The sentence merges the subject and object into a single entity, creating a self-referential claim not present in the triples.""}]"
llama4-scout-openrouter__sk-qa_cf_en__Id318,llama4-scout-openrouter,17.0,medium,sk-qa,cf,en,Id318,2-4,- Múzeum školstva a pedagogiky | location | Pod Kráľovou hoľou,The Múzeum školstva a pedagogiky is located under Kráľová hoľou.,4,"[{""info_used"": ""located under Kráľová hoľou"", ""correct_info"": ""Múzeum školstva a pedagogiky | location | Pod Kráľovou hoľou"", ""comment"": ""wrong_object: The triple says location is 'Pod Kráľovou hoľou' (a place name), but the sentence says 'under Kráľová hoľou', which changes the meaning.""}]"
llama4-scout-openrouter__cs-qa_fa_en__Id386,llama4-scout-openrouter,17.0,medium,cs-qa,fa,en,Id386,2-4,- vozy Policie České republiky | hasMotto | Pomáhat a chránit,"The Policie České republiky has the motto ""Pomáhat a chránit"".",4,"[{""info_used"": ""The Policie České republiky has the motto \""Pomáhat a chránit\"""", ""correct_info"": ""vozy Policie České republiky | hasMotto | Pomáhat a chránit"", ""comment"": ""wrong_object: The sentence attributes the motto to 'Policie České republiky', but the triple states it belongs to 'vozy Policie České republiky' (vehicles of the Police of the Czech Republic).""}]"
tiny-aya-global__sk-qa_cf_en__Id77,tiny-aya-global,3.35,small,sk-qa,cf,en,Id77,5,"- Na love | hasModerator | Žofie Bosniaková
- Na love | isType | televízna relácia
- Na love | hasLanguage | slovenská",Žofie Bosniaková moderuje slovenskú televíznu reláciu Na love.,5,[]
qwen3-1_7b__cs-qa_fa_en__Id303,qwen3-1_7b,1.7,small,cs-qa,fa,en,Id303,2-4,"- Andrej Babiš | owns | Mladá fronta
- Andrej Babiš | owns | mediální skupina Mafra
- Andrej Babiš | ownershipStartDate | 2013-01-01","Andrej Babiš owns the political party Mladá fronta and the media group Mafra, with the ownership starting on January 1, 2013.",3,"[{""info_used"": ""the political party Mladá fronta"", ""correct_info"": ""Andrej Babiš | owns | Mladá fronta"", ""comment"": ""over_specific: the triple does not state that Mladá fronta is a political party""}, {""info_used"": ""the media group Mafra"", ""correct_info"": ""Andrej Babiš | owns | mediální skupina Mafra"", ""comment"": ""unsupported: the triple states 'mediální skupina Mafra', not 'Mafra'""}]"
qwen3_5-122b__cs-qa_fa_en__Id8,qwen3_5-122b,125.0,large,cs-qa,fa,en,Id8,2-4,"- Karel Gott | nationality | český
- Karel Gott | profession | zpěvák
- Karel Gott | award | Zlatý slavík
- Karel Gott | awardCount | 1
- Zlatý slavík | awardFrequency | nejvíckrát","Karel Gott, a Czech singer, has won the Zlatý slavík award once, which is the most frequent occurrence of this award.",4,"[{""info_used"": ""the most frequent occurrence of this award"", ""correct_info"": ""Zlatý slavík | awardFrequency | nejvíckrát"", ""comment"": ""unsupported: The sentence claims the award's frequency is 'the most frequent occurrence of this award', but the triple states the frequency is 'nejvíckrát' (most times), which is a different meaning. The sentence incorrectly interprets the frequency as a property of the award's occurrence rather than the number of times it was awarded.""}]"
llama4-scout-openrouter__cs-qa_fa_en__Id200,llama4-scout-openrouter,17.0,medium,cs-qa,fa,en,Id200,5,"- Návrat idiota | genre | romantická komedie
- Návrat idiota | countryOfOrigin | Česká
- Návrat idiota | director | Saša Gedeon
- Návrat idiota | releaseYear | 1999
- Návrat idiota | inspiredBy | hlavní postava z Dostojevského kníhy Idiot","The movie ""Návrat idiota"" is a romantic comedy directed by Saša Gedeon, released in 1999, and originates from Česká. It was inspired by the main character from Dostojevského's book ""Idiot"".",5,[]
qwen3_5-9b__cs-qa_cf_en__Id225,qwen3_5-9b,9.7,small,cs-qa,cf,en,Id225,5,"- Václav Klaus | becamePresident | 1968-01-01
- Václav Klaus | presidentOf | Československá socialistická republika",Václav Klaus became president of the Československá socialistická republika on 1968-01-01.,5,[]
gemma4-31B__cs-qa_fa_en__Id509,gemma4-31B,30.7,medium,cs-qa,fa,en,Id509,5,"- Město Jeseník | namedAfter | poloha u jesenického pohoří
- poloha u jesenického pohoří | locatedNear | jesenické pohoří","Město Jeseník is named after poloha u jesenického pohoří, which is located near jesenické pohoří.",5,[]
qwen3_5-122b__cs-qa_fa_en__Id295,qwen3_5-122b,125.0,large,cs-qa,fa,en,Id295,5,"- Novodobá těžba | affects | vzhled a vývoj České Lípy
- Novodobá těžba | resourceType | uran",Modern mining affects the appearance and development of Česká Lípa and involves uranium as its resource type.,5,"[{""info_used"": ""Modern mining affects the appearance and development of Česká Lípa"", ""correct_info"": ""Novodobá těžba | affects | vzhled a vývoj České Lípy"", ""comment"": ""unsupported: The sentence translates 'Novodobá těžba' as 'Modern mining' and 'vzhled a vývoj České Lípy' as 'the appearance and development of Česká Lípa', which is a faithful paraphrase. However, the sentence omits the subject 'Novodobá těžba' as a specific entity and instead uses a generic term, but this is a paraphrase. The claim is fully supported.""}]"
gemma4-e4b__sk-qa_fa_en__Id277,gemma4-e4b,8.0,small,sk-qa,fa,en,Id277,5,"- Bánhidské nárečie | partOf | Západoslovenská časť
- Bánhidské nárečie | isTypeOf | Slovenské nárečie
- Bánhidské nárečie | hasCharacteristicForm | venku
- Bánhidské nárečie | hasCharacteristicForm | jedenác
- Bánhidské nárečie | hasCharacteristicForm | čepec","The Bánhidské nárečie is a Slovak language that is part of the Western Slovak part and has characteristic forms such as venku, jedenác, and čepec.",5,[]
qwen3_5-9b__sk-qa_fa_en__Id397,qwen3_5-9b,9.7,small,sk-qa,fa,en,Id397,2-4,"- Slovensko | wonGoldMedalIn | Majstrovstvá sveta v ľadovom hokeji
- Slovensko | winningYear | 2002",Slovenia won a gold medal at the World Ice Hockey Championships in 2002.,4,"[{""info_used"": ""Slovenia"", ""correct_info"": ""Slovensko"", ""comment"": ""wrong_object: The subject in the triples is Slovensko (Slovakia), not Slovenia.""}]"
gpt-oss-120b__cs-qa_fa_en__Id94,gpt-oss-120b,117.0,large,cs-qa,fa,en,Id94,2-4,"- Vojtěch Zikmund | profession | chemik
- Vojtěch Zikmund | profession | podnikatel
- Vojtěch Zikmund | profession | průmyslník
- Vojtěch Zikmund | nationality | český
- Vojtěch Zikmund | foundingRole | u zrodu
- česká společnost | industry | výroba a prodej benzínu","Vojtěch Zikmund, a Czech chemist, entrepreneur and industrialist, had a founding role at the birth, and the Czech company is engaged in the production and sale of gasoline.",4,"[{""info_used"": ""the Czech company is engaged in the production and sale of gasoline"", ""correct_info"": ""česká společnost | industry | výroba a prodej benzínu"", ""comment"": ""unsupported: The sentence attributes the industry to 'the Czech company' without establishing that this company is the same entity as Vojtěch Zikmund or otherwise linked to him in the triples. The triple states that 'česká společnost' (a Czech company) has this industry, but the sentence does not clarify the relationship between Vojtěch Zikmund and this company, making the claim unsupported by the given triples.""}]"
qwen3_5-122b__cs-qa_cf_en__Id341,qwen3_5-122b,125.0,large,cs-qa,cf,en,Id341,2-4,"- Masarykova univerzita | sizeRank | 2
- Masarykova univerzita | foundingRank | 2
- Masarykova univerzita | country | Děčín","Masarykova univerzita holds the second size rank, the second founding rank, and is located in Děčín.",4,"[{""info_used"": ""is located in Děčín"", ""correct_info"": ""Masarykova univerzita | country | Děčín"", ""comment"": ""wrong_predicate: the triple states 'country' not 'location', and Děčín is a city, not a country; the sentence asserts a location relationship not supported by the triple""}]"
qwen3-1_7b__cs-qa_fa_en__Id419,qwen3-1_7b,1.7,small,cs-qa,fa,en,Id419,2-4,"- Svatý Václav | isA | český kníže
- Svatý Václav | isA | světec
- Svatý Václav | wasMurderedIn | Stará Boleslav
- Svatý Václav | wasMurderedBy | služebníci Boleslava
- Boleslav | isBrotherOf | Svatý Václav
- služebníci | belongTo | Boleslav","Svatý Václav was a Czech nobleman and a priest, who was murdered in Stará Boleslav by the servants of Boleslav, and Boleslav was brother to Svatý Václav, who belonged to the servants of Boleslav.",2,"[{""info_used"": ""Svatý Václav was a Czech nobleman"", ""correct_info"": ""Svatý Václav | isA | český kníže"", ""comment"": ""unsupported: 'nobleman' is not equivalent to 'český kníže' (Czech duke/prince)""}, {""info_used"": ""a priest"", ""correct_info"": ""Svatý Václav | isA | světec"", ""comment"": ""unsupported: 'priest' is not equivalent to 'světec' (saint)""}, {""info_used"": ""Boleslav was brother to Svatý Václav, who belonged to the servants of Boleslav"", ""correct_info"": ""služebníci | belongTo | Boleslav"", ""comment"": ""reverse: the sentence says Svatý Václav belonged to the servants, but the triple says the servants belong to Boleslav""}]"
gemma4-31B__cs-qa_cf_en__Id474,gemma4-31B,30.7,medium,cs-qa,cf,en,Id474,2-4,"- budova hlavního nádraží v Praze | locationType | jihočeské město
- budova hlavního nádraží v Praze | liesAtRiver | Blanice",The budova hlavního nádraží v Praze is located in a South Bohemian town and lies at the Blanice river.,4,"[{""info_used"": ""located in a South Bohemian town"", ""correct_info"": ""budova hlavního nádraží v Praze | locationType | jihočeské město"", ""comment"": ""unsupported: the triple says the location type is a South Bohemian town, not that the entity is located in one""}]"
llama4-scout-openrouter__sk-qa_cf_en__Id422,llama4-scout-openrouter,17.0,medium,sk-qa,cf,en,Id422,5,"- Košice | hasProblematicDistrict | Ondava
- Ondava | isDistrictOf | Košice
- Ondava | hasStatus | problémová","Košice has a problematic district called Ondava, which is a district of Košice and has a status of problémová. Alternatively, more fluently: Košice has a district called Ondava, which is considered problematic. Ondava is a district of Košice.",5,[]
gemma4-e4b__sk-qa_fa_en__Id459,gemma4-e4b,8.0,small,sk-qa,fa,en,Id459,2-4,- okres Sabinov | locatedIn | Prešovský kraj,The region Sabinov is located in Prešovský kraj.,4,"[{""info_used"": ""The region Sabinov"", ""correct_info"": ""okres Sabinov | locatedIn | Prešovský kraj"", ""comment"": ""wrong_object: The triple specifies 'okres Sabinov' (district), not 'region Sabinov'.""}]"
qwen3_5-9b__sk-qa_cf_en__Id97,qwen3_5-9b,9.7,small,sk-qa,cf,en,Id97,1,- Hlavná bratislavská autobusová stanica | hasCapital | Prešov,Hlavná bratislavská autobusová stanica hasCapital Prešov.,1,"[{""info_used"": ""Hlavná bratislavská autobusová stanica hasCapital Prešov."", ""correct_info"": ""The sentence is not a natural-language sentence; it keeps the exact pipe-separated RDF format."", ""comment"": ""wrong_transform""}]"
gemma4-e4b__cs-qa_cf_en__Id2,gemma4-e4b,8.0,small,cs-qa,cf,en,Id2,2-4,"- Ministryně zahraničí Spojených států | originCountry | Horoušany
- Ministryně zahraničí Spojených států | name | Madeleine Albrightová",The Ministry of Foreign Affairs of the United States has the origin country Horoušany and the name Madeleine Albrightová.,4,"[{""info_used"": ""The Ministry of Foreign Affairs of the United States"", ""correct_info"": ""Ministryně zahraničí Spojených států"", ""comment"": ""wrong_object: The subject is 'Ministryně zahraničí Spojených států' (Minister of Foreign Affairs of the United States), not 'Ministry of Foreign Affairs'.""}]"
qwen3_5-122b__cs-qa_fa_en__Id100,qwen3_5-122b,125.0,large,cs-qa,fa,en,Id100,2-4,"- diváci | know | Radko John
- Radko John | appearsIn | Na vlastní oči
- Na vlastní oči | isA | investigativní pořad","Radko John, known as diváci, appears in Na vlastní oči, which is an investigativní pořad.",2,"[{""info_used"": ""Radko John, known as diváci"", ""correct_info"": ""diváci | know | Radko John"", ""comment"": ""reverse: The triple states that diváci know Radko John, not that Radko John is known as diváci.""}]"
gemma4-31B__sk-qa_cf_en__Id306,gemma4-31B,30.7,medium,sk-qa,cf,en,Id306,2-4,"- Slovensko | locatedIn | Šaštín-Stráže
- Šaštín-Stráže | isA | pútnicky významné mesto
- Šaštín-Stráže | locatedIn | Slovensko","Šaštín-Stráže is a pilgrimage significant town located in Slovensko, and Slovensko is located in Šaštín-Stráže.",2,"[{""info_used"": ""Slovensko is located in Šaštín-Stráže"", ""correct_info"": ""Slovensko | locatedIn | Šaštín-Stráže"", ""comment"": ""reverse""}]"
