uid,prompt_language,triples,sentence,human_faithfulness_score,human_faithfulness_reason,human_fluency_score,human_fluency_reason,Annotator
- Václav Klaus | presidentOf | Československá socialistická republika",Václav Klaus became president of the Československá socialistická republika on 1968-01-01.,5,,3.0,,2
gemma4-31B__cs-qa_fa_en__Id509,en,"- Město Jeseník | namedAfter | poloha u jesenického pohoří
- poloha u jesenického pohoří | locatedNear | jesenické pohoří","Město Jeseník is named after poloha u jesenického pohoří, which is located near jesenické pohoří.",5,,3.0,,2
qwen3_5-122b__cs-qa_fa_en__Id295,en,"- Novodobá těžba | affects | vzhled a vývoj České Lípy
- Novodobá těžba | resourceType | uran",Modern mining affects the appearance and development of Česká Lípa and involves uranium as its resource type.,5,,4.0,,4
gemma4-e4b__sk-qa_fa_en__Id277,en,"- Bánhidské nárečie | partOf | Západoslovenská časť
- Bánhidské nárečie | isTypeOf | Slovenské nárečie
- Bánhidské nárečie | hasCharacteristicForm | venku
- Bánhidské nárečie | hasCharacteristicForm | jedenác
- Bánhidské nárečie | hasCharacteristicForm | čepec","The Bánhidské nárečie is a Slovak language that is part of the Western Slovak part and has characteristic forms such as venku, jedenác, and čepec.",5,,5.0,,4
qwen3_5-9b__sk-qa_fa_en__Id397,en,"- Slovensko | wonGoldMedalIn | Majstrovstvá sveta v ľadovom hokeji
- Slovensko | winningYear | 2002",Slovenia won a gold medal at the World Ice Hockey Championships in 2002.,4,Slovenia vs Slovakia,5.0,,4
gpt-oss-120b__cs-qa_fa_en__Id94,en,"- Vojtěch Zikmund | profession | chemik
- Vojtěch Zikmund | profession | podnikatel
- Vojtěch Zikmund | profession | průmyslník
- Vojtěch Zikmund | nationality | český
- Vojtěch Zikmund | foundingRole | u zrodu
- česká společnost | industry | výroba a prodej benzínu","Vojtěch Zikmund, a Czech chemist, entrepreneur and industrialist, had a founding role at the birth, and the Czech company is engaged in the production and sale of gasoline.",4,,3.0,,4
qwen3_5-122b__cs-qa_cf_en__Id341,en,"- Masarykova univerzita | sizeRank | 2
- Masarykova univerzita | foundingRank | 2
- Masarykova univerzita | country | Děčín","Masarykova univerzita holds the second size rank, the second founding rank, and is located in Děčín.",5,,5.0,,4
qwen3-1_7b__cs-qa_fa_en__Id419,en,"- Svatý Václav | isA | český kníže
- Svatý Václav | isA | světec
- Svatý Václav | wasMurderedIn | Stará Boleslav
- Svatý Václav | wasMurderedBy | služebníci Boleslava
- Boleslav | isBrotherOf | Svatý Václav
- služebníci | belongTo | Boleslav","Svatý Václav was a Czech nobleman and a priest, who was murdered in Stará Boleslav by the servants of Boleslav, and Boleslav was brother to Svatý Václav, who belonged to the servants of Boleslav.",4,světec není priest,3.0,,4
gemma4-31B__cs-qa_cf_en__Id474,en,"- budova hlavního nádraží v Praze | locationType | jihočeské město
- budova hlavního nádraží v Praze | liesAtRiver | Blanice",The budova hlavního nádraží v Praze is located in a South Bohemian town and lies at the Blanice river.,5,,3.0,,4
llama4-scout-openrouter__sk-qa_cf_en__Id422,en,"- Košice | hasProblematicDistrict | Ondava
- Ondava | isDistrictOf | Košice
- Ondava | hasStatus | problémová","Košice has a problematic district called Ondava, which is a district of Košice and has a status of problémová. Alternatively, more fluently: Košice has a district called Ondava, which is considered problematic. Ondava is a district of Košice.",5,"výběr za dvou možností, ta druhá je výrazně lepší",3.0,,4
gemma4-e4b__sk-qa_fa_en__Id459,en,- okres Sabinov | locatedIn | Prešovský kraj,The region Sabinov is located in Prešovský kraj.,4,,5.0,,4
qwen3_5-9b__sk-qa_cf_en__Id97,en,- Hlavná bratislavská autobusová stanica | hasCapital | Prešov,Hlavná bratislavská autobusová stanica hasCapital Prešov.,4,,3.0,,4
gemma4-e4b__cs-qa_cf_en__Id2,en,"- Ministryně zahraničí Spojených států | originCountry | Horoušany
- Ministryně zahraničí Spojených států | name | Madeleine Albrightová",The Ministry of Foreign Affairs of the United States has the origin country Horoušany and the name Madeleine Albrightová.,3,,3.0,,4
qwen3_5-122b__cs-qa_fa_en__Id100,en,"- diváci | know | Radko John
- Radko John | appearsIn | Na vlastní oči
- Na vlastní oči | isA | investigativní pořad","Radko John, known as diváci, appears in Na vlastní oči, which is an investigativní pořad.",2,nepřeložený pořad,3.0,,4
gemma4-31B__sk-qa_cf_en__Id306,en,"- Slovensko | locatedIn | Šaštín-Stráže
- Šaštín-Stráže | isA | pútnicky významné mesto
- Šaštín-Stráže | locatedIn | Slovensko","Šaštín-Stráže is a pilgrimage significant town located in Slovensko, and Slovensko is located in Šaštín-Stráže.",4,nepřeložené slovensko,3.0,,4
tiny-aya-global__cs-qa_fa_en__Id181,en,"- Devětsil | isA | umělecký svaz
- Devětsil | originCountry | Česko
- Devětsil | politicalAlignment | levicový
- Devětsil | activeFrom | 1920-01-01
- Devětsil | activeUntil | 1930-12-31","Devětsil is a Czech artistic union founded in 1920, operating from 1920 to 1931, and is left-leaning.",5,,5.0,,4
llama4-scout-openrouter__cs-qa_cf_en__Id421,en,"- Gustáv Husák | isLastCommunistPresidentOf | Československo
- Gustáv Husák | position | prezident
- Gustáv Husák | startDate | 1975-01-01
- Gustáv Husák | endDate | 1945-05-31","Gustáv Husák was the last Communist president of Československo, serving from 1945-05-31 to 1975-01-01.",2,,5.0,,4
gpt-oss-120b__sk-qa_fa_en__Id443,en,- ZŤP | abbreviationOf | zdravotne ťažko postihnutý,ZŤP is an abbreviation of severely health-impaired.,5,,5.0,,4
gemma4-e4b__sk-qa_cf_en__Id105,en,"- Vrútky | locationOfConfluence | Topľa
- Váh | riverInConfluence | Turiec
- Topľa | confluenceLocation | Vrútky","Vrútky is the location of confluence where the Váh river is in confluence with the Turiec, and Topľa is the confluence location of Vrútky.",3,,3.0,,4
gpt-oss-120b__sk-qa_fa_en__Id106,en,"- hokejbal | founder | Jaroslav Melišek
- Jaroslav Melišek | nationality | Slovensko","Floorball was founded by Jaroslav Melišek, whose nationality is Slovensko.",4,hokejbal není floorball,3.0,,4
gemma4-31B__cs-qa_fa_en__Id445,en,- Kuks | locatedIn | okres Trutnov,Kuks is located in okres Trutnov.,5,,5.0,,4
llama4-scout-openrouter__sk-qa_fa_en__Id8,en,"- Banská Štiavnica | knownFor | Mining
- Mining | resourceType | Kovy
- Kovy | primaryExample | Striebro","Banská Štiavnica is known for mining, which is a type of resource that has Striebro as a primary example.",4,,2.0,,4
llama4-scout-openrouter__sk-qa_fa_en__Id420,en,"- Október | isMonthDedicatedTo | ucta ruzenca
- ucta ruzenca | isAssociatedWith | rímskokatolícka cirkev",October is a month dedicated to All Saints' Eve. All Saints' Eve is associated with the Roman Catholic Church.,4,špatně přeložený růženec,3.0,,4
gemma4-31B__cs-qa_fa_en__Id417,en,"- Bivoj | isA | Český Legendární Hrdina
- Bivoj | caught | Divoký Kanec
- Bivoj | obtained | Ruka Kazi
- Bivoj | accordingTo | Pověst","According to Pověst, Bivoj is a Český Legendární Hrdina who caught Divoký Kanec and obtained Ruka Kazi.",4,"nepřeložená pověst, špatné pochopení formulace ""získat ruku""",2.0,,4
llama4-scout-openrouter__cs-qa_fa_en__Id434,en,"- Univerzita Karlova | ensuresActivity | Nakladatelství Karolinum
- Nakladatelství Karolinum | hasName | Karolinum","The Charles University ensures the activity of Karolinum, which is also known as Karolinum.",3,vynechaná informace o knihkupectví,2.0,,4
llama4-scout-openrouter__cs-qa_fa_en__Id388,en,"- Dlouhé Stráně | isType | přečerpávací vodní elektrárna
- Dlouhé Stráně | location | Hrubý Jeseník
- Dlouhé Stráně | location | Česko
- Dlouhé Stráně | isMost | výkonná","Dlouhé Stráně is a pumped-storage hydroelectric power plant located in Hrubý Jeseník, Česko, and it is the most powerful one.",5,,5.0,,4
qwen3_5-122b__cs-qa_cf_en__Id90,en,"- Ondřej Perušič | isPartOf | Zdeněk Svěrák
- David Schweiner | isPartOf | Zdeněk Svěrák
- Zdeněk Svěrák | becameWorldChampionIn | beach volleyball
- Zdeněk Svěrák | becameWorldChampionInYear | 2023","Ondřej Perušič and David Schweiner are part of Zdeněk Svěrák, which became world champion in beach volleyball in 2023.",5,tady se stalo něco divného,4.0,,4
gemma4-31B__cs-qa_cf_en__Id187,en,"- České dráhy | isA | železniční dopravce
- České dráhy | country | Kutná Hora
- České dráhy | sizeRank | největší
- Ministerstvo dopravy České republiky | founded | České dráhy",České dráhy is the largest railway operator in Kutná Hora and was founded by the Ministerstvo dopravy České republiky.,5,,5.0,,3
qwen3_5-9b__cs-qa_fa_en__Id17,en,"- Zlín | location | údolí Dřevnice
- Dřevnice | type | řeka","Zlín is located in the údolí Dřevnice, which is a řeka.",5,,5.0,,3
qwen3_5-122b__cs-qa_fa_en__Id88,en,"- Krušné hory | location | severozápad Čech
- Krušné hory | type | pohoří",Krušné hory are a mountain range located in severozápad Čech.,5,,5.0,,3
gemma4-e2b__cs-qa_cf_en__Id274,en,- úpatí Krušných hor | isNear | Českých Budějovic,úpatí Krušných hor is near Českých Budějovic.,5,,4.0,,3
gpt-oss-120b__sk-qa_fa_en__Id289,en,"- Jozef Karvaš | isA | slovenský hudobník
- Jozef Karvaš | isA | trubkár
- Jozef Karvaš | isKnownFor | Ďez","Jozef Karvaš is a Slovak musician and a trumpeter, and he is known for Ďez.",5,,5.0,,3
llama4-scout-openrouter__sk-qa_fa_en__Id303,en,"- Viliama Klimáčka | knownAs | herca
- Viliama Klimáčka | knownAs | scenáristu
- Viliama Klimáčka | knownAs | herca divadla GUnaGU
- Viliama Klimáčka | studiedAt | lekárska fakulta UK v Bratislave
- Viliama Klimáčka | profession | anesteziológ","Viliama Klimáčka is known as an actress, a screenwriter, and an actress of GUnaGU theatre, and she studied at the Medical Faculty of Comenius University in Bratislava and works as an anesthesiologist.",3,"gender inferred incorrectly, although the name in accusative is unusual",5.0,,3
gemma4-31B__sk-qa_fa_en__Id229,en,"- Štrba | connectedBy | Ozubnicová Trať
- Ozubnicová Trať | connects | Štrbské Pleso","Štrba is connected by Ozubnicová Trať, which connects Štrbské Pleso.",5,,5.0,,3
tiny-aya-global__sk-qa_fa_en__Id204,en,"- Anton Bernolák | attemptedToCodify | slovenčina
- Anton Bernolák | basisForCodification | západoslovenské nárečie","Anton Bernolák attempted to codify the slovenčina dialect, which served as the basis for his work.",3,"missing zapadoslovenske, the dialect is weridly placed",4.0,,3
gpt-oss-120b__cs-qa_fa_en__Id295,en,"- Novodobá těžba | affects | vzhled a vývoj České Lípy
- Novodobá těžba | resourceType | uran",Modern mining affects the appearance and development of Česká Lípa. Its resource type is uranium.,5,,5.0,,3
gemma4-e2b__cs-qa_fa_en__Id67,en,- postavička Večerníček | hasAuthor | Radek Pilař,postavička Večerníček hasAuthor Radek Pilař.,5,,3.0,missing translations,3
qwen3_5-9b__sk-qa_fa_en__Id63,en,"- Miroslav Šmajda | birthplace | Košice
- Miroslav Šmajda | role | frontman
- Miroslav Šmajda | band | Walda Gang
- Miroslav Šmajda | band | Terrapie
- Miroslav Šmajda | competition | Česko Slovenská SuperStar
- Česko Slovenská SuperStar | season | 1
- Česko Slovenská SuperStar | year | 2009
- Miroslav Šmajda | placement | 2","Miroslav Šmajda, a frontman for the bands Walda Gang and Terrapie, placed second in season 1 of Česko Slovenská SuperStar in 2009, where he was born in Košice.",4,,4.0,"""where he was born"" is weird",3
gpt-oss-120b__cs-qa_cf_en__Id419,en,"- Svatý Václav | isA | český kníže
- Svatý Václav | isA | světec
- Svatý Václav | wasMurderedIn | Stará Boleslav
- Svatý Václav | wasMurderedBy | služebníci Boleslava
- Kateřina Bobková-Valentová | isBrotherOf | Svatý Václav
- služebníci | belongTo | Kateřina Bobková-Valentová","Svatý Václav was a Czech prince and a saint; he was murdered in Stará Boleslav by the servants of Boleslav. Kateřina Bobková‑Valentová is his brother, and the servants belong to Kateřina Bobková‑Valentová.",5,,,,3
llama4-scout-openrouter__sk-qa_cf_en__Id411,en,"- SNS | currentChairperson | Andrej Danko
- Andrej Danko | chairpersonYear | 1 januára","Andrej Danko is the current chairperson of SNS, and he became chairperson on 1 January.",5,,,,3
gpt-oss-120b__sk-qa_cf_en__Id391,en,- Bazilika Sedembolestnej Panny Márie | isHighestLocated | pleso,Bazilika Sedembolestnej Panny Márie is the highest located mountain lake.,5,,,,3
qwen3_5-122b__cs-qa_cf_en__Id436,en,- Česko | locatedIn | Zlínský kraj,Česko is located in Zlínský kraj.,5,,,,3
gemma4-e4b__cs-qa_fa_hsb__Id482,hsb,"- Pardubice | knownFor | výroba perníku
- perník | productionLocation | Pardubice",Pardubice je poznata po proizvodnji perníku.,5,,,,3
gemma4-31B__cs-qa_fa_hsb__Id525,hsb,"- Holešovice | separatedBy | řeka
- Libně | partOf | Praha
- Holešovice | separatedFrom | Libně",Holešovice su wódźej rjeky wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej wódźej,1,,1.0,,1
qwen3_5-122b__cs-qa_fa_hsb__Id189,hsb,"- státní hymna České republiky | originatesFrom | Fidlovačka aneb Žádný hněv a žádná rvačka
- Fidlovačka aneb Žádný hněv a žádná rvačka | author | Josef Kajetán Tyl
- Fidlovačka aneb Žádný hněv a žádná rvačka | isA | divadelní hra","Státní hymna České republiky pochází z divadelní hry Fidlovačka aneb Žádný hněv a žádná rvačka, jejímž autorem je Josef Kajetán Tyl.",1,,1.0,,1
gemma4-e4b__cs-qa_cf_hsb__Id410,hsb,"- Karel Kryl | nationality | Československý
- Karel Kryl | occupation | autor
- Karel Kryl | created | protikomunistické protestní písničky
- Karel Kryl | numberOf | mnoha
- Karel Kryl | released | 1848-01-01
- Karel Kryl | firstLP | Bratříčku zavírej vrátka",Karel Kryl je Československý autor. On je stvoril protikomunistické protestní písničky. On je vydan 1848-01-01. On ma mnoha Bratříčku zavírej vrátka.,3,,1.0,,1
gemma4-e2b__sk-qa_cf_hsb__Id6,hsb,- Juraj Farkaš | originalName | Andrej Braxatoris,Juraj Farkaš je Andrej Braxatoris.,3,,1.0,,1
gemma4-e4b__sk-qa_cf_hsb__Id337,hsb,- Majk Spirit | hasRealName | Viliam Polónyi,Majk Spirit ima pravi naziv Viliam Polónyi.,5,,,,1
qwen3-1_7b__cs-qa_fa_hsb__Id8,hsb,"- Karel Gott | nationality | český
- Karel Gott | profession | zpěvák
- Karel Gott | award | Zlatý slavík
- Karel Gott | awardCount | 1
- Zlatý slavík | awardFrequency | nejvíckrát",Karel Gott | nacionalnost | český Karel Gott | držiteľ | zpěvák Karel Gott | odhranuto | Zlatý slavík Karel Gott | počet odhranutí | 1 Zlatý slavík | frekvencia | nejvíckrát,1,totálně v crashi,1.0,,4
llama4-scout-openrouter__cs-qa_cf_hsb__Id19,hsb,- těžba uhlí | causes | Brno,Těžba uhlí způsobuje znečištění v Brně.,3,"vymyšlené znečištění, ale jinak ta věta nedává smysl",1.0,,4
qwen3_5-122b__cs-qa_cf_hsb__Id151,hsb,"- Čeština 2.0 | isTypeOf | internetový slovník
- Čeština 2.0 | foundedBy | Ulrika von Levetzow
- Čeština 2.0 | collects | nové české výrazy
- Čeština 2.0 | collects | novotvary","Čeština 2.0 je internetowy slovník, kotryž załoži Ulrika von Levetzow a kotrež zběra nowe české wyrazy kaž tež novotvary.",5,,5.0,,4
gemma4-31B__sk-qa_fa_hsb__Id430,hsb,"- Univerzita v Banskej Bystrici | namedAfter | Matej Bel
- Matej Bel | occupation | slovenský vedec","Univerzita v Banskej Bystrici je po Matej Bel, kotž běš slovenský vedec, named.",5,,2.0,"""named""",4
llama4-scout-openrouter__sk-qa_cf_hsb__Id127,hsb,"- Rudolf II. | knownAs | Momo
- Momo | artisticNameOf | Rudolf II.",Rudolf II. bu wobličany jako Momo. Momo bě wušwětřene wuměničke mjeno za Rudolfa II.,5,,5.0,,4
tiny-aya-global__cs-qa_cf_hsb__Id339,hsb,"- Český zemský sněm | hasSeatedIn | Frýdek-Místek
- Český zemský sněm | hasSeatedIn | Frýdek-Místek
- 1861 | isYearOf | start",**Český zemský sněm | hasSeatedIn | Frýdek-Frýdek** **Český zemský sněm | hasSeatedIn | Frýdek-Frýdek** **1861 | isYearOf | start**,1,,1.0,,4
gemma4-e4b__sk-qa_fa_hsb__Id218,hsb,"- Južný obchvat Nitry | forms | R1
- R1 | isA | diaľnica","Južný obchvat Nitry je R1, a R1 je diaľnica.",1,,3.0,,4
tiny-aya-global__cs-qa_cf_hsb__Id266,hsb,- Cejpův dům | locatedIn | Plzeň,"**RDF-Triple:** Cejpův dům | locatedIn | Plzeň **Hornjoserbski preklad:** Cejpův dům | leži v | Plzeň **Wyjaśnienie:** **Cejpův dům** (powšitkowne substancja) jest obiektem, który jest opisany jako ""leži v"" (lokalizacja) w kontekście miasta **Plzeň** (powšitkowne miasto). Predikat **""leži v""** (lokalizacja) jest bezpośrednio przetłumaczony do hornjoserbskiego języka, zachowując jego naturalne znaczenie. Informacje są podane zgodnie z instrukcjami: brak dodawania, modyfikowania lub generalizowania faktów, a wszystkie dane są dokładne i zgodne z podanym RDF-triplom.",2,,1.0,,4
llama4-scout-openrouter__sk-qa_cf_hsb__Id487,hsb,"- Podujatie ťažných koní | hasName | Kľačianska Podkova
- Podujatie ťažných koní | location | Slovenská Ľupča","Podujatie ťažných koní ma mjeno ""Kľačianska Podkova"" a wón findźešo w Słowkej Ľupči.",5,,5.0,,4
qwen3_5-9b__sk-qa_fa_hsb__Id93,hsb,"- Tiesňava Kyseľ | locatedIn | Slovenský Raj
- Slovenský Raj | isA | horské pásmo","Tiesňawa Kyseľ leži w horach Slovenský Raj, kotryž je horské pásmo.",5,,5.0,,4
qwen3_5-122b__cs-qa_cf_hsb__Id419,hsb,"- Svatý Václav | isA | český kníže
- Svatý Václav | isA | světec
- Svatý Václav | wasMurderedIn | Stará Boleslav
- Svatý Václav | wasMurderedBy | služebníci Boleslava
- Kateřina Bobková-Valentová | isBrotherOf | Svatý Václav
- služebníci | belongTo | Kateřina Bobková-Valentová","Svatý Václav, český kníže a světec, byl zabit ve Staré Boleslavi služebníky Boleslava, kteří patří Kateřině Bobkové-Valentové; ta je bratrem Svatého Václava.",4,,1.0,,4
gemma4-31B__cs-qa_fa_hsb__Id318,hsb,- Česká televize | foundingDate | 1992-01-01,Česká televize została 1. stycznia 1992 founded.,5,,3.0,"""founded""",4
qwen3_5-122b__cs-qa_fa_hsb__Id432,hsb,- první česká knížecí dynastie | hasName | dynastie Přemyslovců,První česká knížecí dynastie je dynastie Přemyslovců.,1,,1.0,,1
tiny-aya-global__cs-qa_fa_hsb__Id387,hsb,"- Československá automobilová doprava | providesService | autobusová doprava
- Československá automobilová doprava | operatesIn | Československo
- Československá automobilová doprava | activeDuring | 1949-01-01
- Československá automobilová doprava | activeUntil | 1989-12-31
- Československo | politicalEra | socialismus",**Československá automobilová doprava | providesService | autobusová doprava** **Československá automobilová doprava | operatesIn | Československo** **Československá automobilová doprava | activeDuring | 1949-01-01** **Československá automobilová doprava | activeUntil | 1998-12-31** **Československo | politicalEra | socialismus**,1,,1.0,,1
qwen3_5-122b__cs-qa_cf_hsb__Id449,hsb,"- Haná | isA | Oblast
- Haná | locatedIn | Vltava","Haná je oblast, kotraž leži w Vltavje.",5,,4.0,,4
qwen3_5-9b__cs-qa_cf_hsb__Id201,hsb,"- Ondřej Trojan | directedFilm | Občanský průkaz
- Občanský průkaz | releaseYear | 2010
- Občanský průkaz | depictsLifeOf | Petr
- Občanský průkaz | depictsLifeOf | Popelka
- Občanský průkaz | depictsLifeOf | Petr Mach
- Občanský průkaz | depictsLifeOf | Míťa
- Občanský průkaz | settingPeriod | 1973-01-01
- Občanský průkaz | settingPeriod | 1977-12-31
