uid,Annotator,prompt_language,triples,sentence,human_faithfulness_score,judge_faithfulness_score,score_difference,human_faithfulness_reason,judge_incorrect_information
qwen3-1_7b__cs-qa_fa_en__Id419,4,en,"- Svatý Václav | isA | český kníže
- Svatý Václav | isA | světec
- Svatý Václav | wasMurderedIn | Stará Boleslav
- Svatý Václav | wasMurderedBy | služebníci Boleslava
- Boleslav | isBrotherOf | Svatý Václav
- služebníci | belongTo | Boleslav","Svatý Václav was a Czech nobleman and a priest, who was murdered in Stará Boleslav by the servants of Boleslav, and Boleslav was brother to Svatý Václav, who belonged to the servants of Boleslav.",4,2,2,světec není priest,"[{""info_used"": ""Svatý Václav was a Czech nobleman"", ""correct_info"": ""Svatý Václav | isA | český kníže"", ""comment"": ""unsupported: 'nobleman' is not equivalent to 'český kníže' (Czech duke/prince)""}, {""info_used"": ""a priest"", ""correct_info"": ""Svatý Václav | isA | světec"", ""comment"": ""unsupported: 'priest' is not equivalent to 'světec' (saint)""}, {""info_used"": ""Boleslav was brother to Svatý Václav, who belonged to the servants of Boleslav"", ""correct_info"": ""služebníci | belongTo | Boleslav"", ""comment"": ""reverse: the sentence says Svatý Václav belonged to the servants, but the triple says the servants belong to Boleslav""}]"
gemma4-31B__sk-qa_cf_en__Id306,4,en,"- Slovensko | locatedIn | Šaštín-Stráže
- Šaštín-Stráže | isA | pútnicky významné mesto
- Šaštín-Stráže | locatedIn | Slovensko","Šaštín-Stráže is a pilgrimage significant town located in Slovensko, and Slovensko is located in Šaštín-Stráže.",4,2,2,nepřeložené slovensko,"[{""info_used"": ""Slovensko is located in Šaštín-Stráže"", ""correct_info"": ""Slovensko | locatedIn | Šaštín-Stráže"", ""comment"": ""reverse""}]"
tiny-aya-global__cs-qa_fa_cs__Id341,1,cs,"- Masarykova univerzita | sizeRank | 2
- Masarykova univerzita | foundingRank | 2
- Masarykova univerzita | country | Česká republika",Masarykova univerzita má 2. místo v žebříčku velikostí a byla založena ve 2. místě v žebříčku založení. Nachází se v České republice.,5,3,2,,"[{""info_used"": ""má 2. místo v žebříčku velikostí"", ""correct_info"": ""Masarykova univerzita | sizeRank | 2"", ""comment"": ""over_specific: the triple only states a rank of 2, not that it is a 'size ranking' or 'žebříčku velikostí'""}, {""info_used"": ""byla založena ve 2. místě v žebříčku založení"", ""correct_info"": ""Masarykova univerzita | foundingRank | 2"", ""comment"": ""over_specific: the triple only states a rank of 2, not that it is a 'founding ranking' or 'žebříčku založení'""}]"
gpt-oss-120b__cs-qa_cf_cs__Id69,1,cs,"- Praotec Čech ledPeople do země zaslíbené | authorOf | balady
- Praotec Čech ledPeople do země zaslíbené | action | zveřejnil
- Praotec Čech ledPeople do země zaslíbené | requestedAction | zhudebnění
- široká veřejnost | targetOfRequest | zhudebnění
- balady | objectOf | zhudebnění","Praotec Čech ledPeople do země zaslíbené je autorem balad, provedl akci zveřejnil a požádal o zhudebnění; široká veřejnost je cílem žádosti o zhudebnění a balady jsou předmětem zhudebnění.",5,3,2,,"[{""info_used"": ""Praotec Čech ledPeople do země zaslíbené je autorem balad, provedl akci zveřejnil a požádal o zhudebnění"", ""correct_info"": ""Praotec Čech ledPeople do země zaslíbené | authorOf | balady; Praotec Čech ledPeople do země zaslíbené | action | zveřejnil; Praotec Čech ledPeople do země zaslíbené | requestedAction | zhudebnění"", ""comment"": ""unsupported: The sentence adds 'provedl akci' (performed the action) which is not stated in the triples. The triple only says 'action | zveřejnil', not that the subject performed it.""}, {""info_used"": ""široká veřejnost je cílem žádosti o zhudebnění"", ""correct_info"": ""široká veřejnost | targetOfRequest | zhudebnění"", ""comment"": ""unsupported: The sentence adds 'žádosti' (request), which is not present in the triple. The triple only states that 'široká veřejnost' is the target of the request for 'zhudebnění', not that it is the target of a 'žádost o zhudebnění'.""}, {""info_used"": ""balady jsou předmětem zhudebnění"", ""correct_info"": ""balady | objectOf | zhudebnění"", ""comment"": ""unsupported: The sentence adds 'předmětem' (subject/object), which is not in the triple. The triple only states that 'balady' is the object of 'zhudebnění', not that it is the 'předmět zhudebnění'.""}]"
qwen3_5-122b__sk-qa_cf_cs__Id105,4,cs,"- Vrútky | locationOfConfluence | Topľa
- Váh | riverInConfluence | Turiec
- Topľa | confluenceLocation | Vrútky",Vrútky jsou místem soutoku Topľe a Turiec se řekou Váh.,4,2,2,,"[{""info_used"": ""Vrútky jsou místem soutoku Topľe a Turiec se řekou Váh"", ""correct_info"": ""Vrútky | locationOfConfluence | Topľa; Topľa | confluenceLocation | Vrútky; Váh | riverInConfluence | Turiec"", ""comment"": ""unsupported: The sentence claims a confluence of Topľa, Turiec, and Váh at Vrútky, but the triples only state that Topľa has a confluence at Vrútky and that Váh is a river in confluence with Turiec (location unspecified). The triple does not place the Váh-Turiec confluence at Vrútky, nor does it involve Topľa in that confluence.""}]"
gemma4-e2b__sk-qa_fa_cs__Id10,1,cs,"- Slovensko | plannedCooperationWith | Maďarsko
- Slovensko | plannedProject | Vodné Dielo Gabčíkovo",Slovensko plánuje spolupráci s Maďarem a má plánovaný projekt Vodné Dielo Gabčíkovo.,5,4,1,,"[{""info_used"": ""s Maďarem"", ""correct_info"": ""Maďarsko"", ""comment"": ""wrong_object: The triple states cooperation with Maďarsko (Hungary), not Maďar (a Hungarian person).""}]"
tiny-aya-global__sk-qa_cf_cs__Id359,1,cs,- Peter Hrivňák | knownAs | Matej Tóth,"Peter Hrivňák je známý jako hudební skladatel a zpěvák, který spolupracoval s populárníma maďarskými hudebníky, jako je Matej Tóth.",1,2,-1,,"[{""info_used"": ""Peter Hrivňák je známý jako hudební skladatel a zpěvák, který spolupracoval s populárníma maďarskými hudebníky, jako je Matej Tóth."", ""correct_info"": ""Peter Hrivňák | knownAs | Matej Tóth"", ""comment"": ""unsupported: The sentence adds unsupported claims about being a composer, singer, and collaborating with Hungarian musicians, and misinterprets 'knownAs' as a collaboration rather than an alias.""}]"
gemma4-31B__sk-qa_fa_cs__Id292,1,cs,"- Cerova vrchovina | highestPeak | Karanč
- Karanč | elevation | 728
- Karanč | isAbove | 1000","Nejvyšším vrcholem Cerova vrchovina je Karanč, který má nadmořskou výšku 728 a je nad 1000.",5,4,1,,"[{""info_used"": ""je nad 1000"", ""correct_info"": ""Karanč | isAbove | 1000"", ""comment"": ""unsupported""}]"
llama4-scout__cs-qa_fi_sk__Id263,1,sk,"- Babička | author | Xavier Janda
- Xavier Janda | wrote | Babička",Xavier Janda je autorom diela Babička.,4,5,-1,,[]
qwen3-1_7b__sk-qa_fa_cs__Id137,1,cs,- Štiavnica | riverSource | Banská Štiavnica,Štiavnica je zdrojem rýny.,1,2,-1,,"[{""info_used"": ""Štiavnica je zdrojem rýny."", ""correct_info"": ""Štiavnica | riverSource | Banská Štiavnica"", ""comment"": ""wrong_object: The sentence says Štiavnica is the source of 'rýny', but the triple states the source is Banská Štiavnica.""}]"
qwen3_5-9b__cs-qa_fa_cs__Id217,1,cs,"- Václav II. | futureRole | český král
- Václav II. | imprisonmentLocation | Bezděz
- Bezděz | region | Českolipsko
- Václav II. | imprisonmentCentury | 13","Václav II. byl vězněn v 13. století v Bezdězi, který se nachází v regionu Českolipsko, kde působil jako český král.",3,4,-1,,"[{""info_used"": ""působil jako český král"", ""correct_info"": ""Václav II. | futureRole | český král"", ""comment"": ""unsupported: The triple states a future role, not that he acted as king during his imprisonment.""}]"
qwen3_5-122b__sk-qa_fi_sk__Id219,3,sk,"- Najväčší Trenčiansky hokejový klub | hasName | HK Dukla Trenčín
- HK Dukla Trenčín | isType | hokejový klub
- HK Dukla Trenčín | isLocatedIn | Mokrá Lehôtka","Najväčší Trenčiansky hokejový klub sa volá HK Dukla Trenčín, je to hokejový klub a nachádza sa v Mokrej Lehôtky.",5,4,1,,"[{""info_used"": ""nachádza sa v Mokrej Lehôtky"", ""correct_info"": ""HK Dukla Trenčín | isLocatedIn | Mokrá Lehôtka"", ""comment"": ""wrong_object: The sentence uses 'Mokrej Lehôtky' (genitive) but the triple specifies 'Mokrá Lehôtka' (nominative). The location name is altered, changing the entity's identity.""}]"
gemma4-31B__sk-qa_fi_sk__Id91,3,sk,"- Národna bločková lotéria | declaredBy | ministerstvo financií Slovenskej republiky
- ministerstvo financií Slovenskej republiky | country | Horné Sokolce","Národna bločková lotéria bola vyhlásená ministerstvom financií Slovenskej republiky, ktoré je v Horné Sokolce.",5,4,1,,"[{""info_used"": ""ktoré je v Horné Sokolce"", ""correct_info"": ""ministerstvo financií Slovenskej republiky | country | Horné Sokolce"", ""comment"": ""wrong_predicate: 'country' means the ministry is the country of Horné Sokolce, not located in it. The sentence asserts location, which is unsupported.""}]"
llama4-scout__cs-qa_fi_sk__Id280,3,sk,"- Marie Terezie | established | povinná školní docházka
- povinná školní docházka | location | Východní Kostel",Marie Terezie zaviedla povinnú školskú dochádzku vo Východnom Kostele.,5,4,1,,"[{""info_used"": ""vo Východnom Kostele"", ""correct_info"": ""povinná školní docházka | location | Východní Kostel"", ""comment"": ""over_specific: The sentence attaches the location directly to the action 'zaviedla ... vo Východnom Kostele', implying Marie Terezie established it there, while the triple states the school attendance itself is located in Východní Kostel. The sentence merges two triples into a single claim that is not fully supported.""}]"
qwen3_5-122b__cs-qa_fi_sk__Id320,3,sk,- nemocniční areál nemocnice Znojmo | originatedFrom | Rakovník,Nemocničný areál nemocnice Znojmo originatedFrom Rakovník.,4,5,-1,,[]
qwen3_5-122b__cs-qa_cf_en__Id173,1,en,"- zámek Všetaty | locatedInDistrict | zámek Všetaty
- zámek Všetaty | isType | okresní město",Zámek Všetaty is located in the district of zámek Všetaty and is a okresní město.,5,4,1,,"[{""info_used"": ""Zámek Všetaty is located in the district of zámek Všetaty"", ""correct_info"": ""zámek Všetaty | locatedInDistrict | zámek Všetaty"", ""comment"": ""unsupported: the sentence adds 'the district of' which is not present in the triple, but the core claim 'Zámek Všetaty is located in zámek Všetaty' is supported. The addition is minor and does not contradict the triple.""}]"
qwen3-1_7b__cs-qa_cf_en__Id33,1,en,"- Největší povodeň v ČR | occurredInYear | 2002
- Největší povodeň v ČR | timeSpan | 5",The greatest flood in the Czech Republic occurred in 2002 and lasted for 5 years.,3,4,-1,,"[{""info_used"": ""lasted for 5 years"", ""correct_info"": ""Největší povodeň v ČR | timeSpan | 5"", ""comment"": ""over_specific: the triple states a timeSpan of 5, but does not specify the unit (e.g., days, weeks, months). Interpreting it as '5 years' is unsupported.""}]"
qwen3_5-122b__sk-qa_fa_cs__Id329,1,cs,- Dežo Ursiny | recordedAlbum | Na ceste domov,Dežo Ursiny nahradil album Na ceste domov.,3,2,1,,"[{""info_used"": ""nahradil album Na ceste domov"", ""correct_info"": ""Dežo Ursiny | recordedAlbum | Na ceste domov"", ""comment"": ""wrong_predicate: the sentence says 'nahradil' (replaced), but the triple says 'recordedAlbum' (nahrál album)""}]"
tiny-aya-global__cs-qa_cf_cs__Id203,1,cs,"- Česká televize | produces | Svět pod hlavou
- Svět pod hlavou | isAbout | Filip Marvan
- Filip Marvan | isPlayedBy | Stanislav Rudolfský
- Filip Marvan | isHitBy | auto
- Filip Marvan | experiencesInComa | 1982
- Filip Marvan | hasProfession | policista","Česká televize produkuje seriál Svět pod hlavou, který je o Filipovi Marvanovi, kterého ztvárnil Stanislav Rudolfský. Tento seriál byl populární a získal ocenění, ale zároveň zažil i tragický moment, kdy Filip Marvan utrpěl komu v roce 1982. Zároveň byl policistou.",2,3,-1,,"[{""info_used"": ""získal ocenění"", ""correct_info"": ""(missing)"", ""comment"": ""omission""}, {""info_used"": ""byl populární"", ""correct_info"": ""(missing)"", ""comment"": ""omission""}, {""info_used"": ""utrpěl komu"", ""correct_info"": ""Filip Marvan | experiencesInComa | 1982"", ""comment"": ""unsupported""}, {""info_used"": ""tragický moment"", ""correct_info"": ""(missing)"", ""comment"": ""omission""}, {""info_used"": ""byl policistou"", ""correct_info"": ""Filip Marvan | hasProfession | policista"", ""comment"": ""unsupported""}]"
tiny-aya-global__cs-qa_fa_cs__Id11,1,cs,- Miroslava Němcová | isMemberOf | ODS,Miranda Němcová je členkou strany ODS.,3,4,-1,,"[{""info_used"": ""Miranda Němcová"", ""correct_info"": ""Miroslava Němcová"", ""comment"": ""wrong_object: The sentence uses 'Miranda' instead of 'Miroslava', altering the entity's identity.""}]"
gemma4-31B__cs-qa_fi_sk__Id64,3,sk,"- 1. česká hokejová liga | newNameFromSeason | Maxa liga
- 1. česká hokejová liga | seasonStart | 01-01-2025","česká hokejová liga zmenila názov na Maxa liga od sezóny, ktorá začína 01-01-2025.",4,5,-1,,[]
llama4-scout__sk-qa_fi_sk__Id164,1,sk,"- Studenický kraj | contains | atómová elektráreň
- atómová elektráreň | type | atomic power plant","Studenický kraj obsahuje atómovú elektráreň, ktorá je typu atomic power plant, alebo presnejšie, Studenický kraj obsahuje atómovú elektráreň, a tá je atómovou elektrárňou. alebo Studenický kraj obsahuje atómovú elektráreň. Atómová elektráreň je atómová elektráreň.",2,3,-1,,"[{""info_used"": ""(repeated/looping text)"", ""correct_info"": """", ""comment"": ""degenerate""}]"
qwen3-1_7b__cs-qa_fi_sk__Id337,3,sk,- Výtahová kancelář Bati | locatedIn | Záhořské,Výtahová kancelář Bati je v Záhořskom.,5,4,1,,"[{""info_used"": ""Záhořskom"", ""correct_info"": ""Záhořské"", ""comment"": ""wrong_object: The sentence uses 'Záhořskom' instead of the correct location 'Záhořské' from the triple.""}]"
gpt-oss-120b__sk-qa_fi_sk__Id480,3,sk,"- Igor Duda | nationality | slovenská
- Igor Duda | profession | speváčka
- Igor Duda | released | Znamenia
- Znamenia | type | EP","Igor Duda má slovenskú národnosť, je speváčka a vydal Znamenia, pričom Znamenia je EP.",5,4,1,,"[{""info_used"": ""je speváčka"", ""correct_info"": ""Igor Duda | profession | speváčka"", ""comment"": ""unsupported: The sentence uses feminine form 'speváčka' for a male subject 'Igor Duda', which contradicts the triple's profession. The triple states the profession is 'speváčka' (female singer), but the sentence's grammar implies the subject is female, which is not supported by the triples.""}]"
llama4-scout__cs-qa_fi_hsb__Id493,1,hsb,"- Kněžná | isA | řeka
- Horní Vítkov | containsInName | Kněžná",Řeka Kněžná se nachází v Horním Vítkově.,1,2,-1,,"[{""info_used"": ""Řeka Kněžná se nachází v Horním Vítkově."", ""correct_info"": ""Horní Vítkov | containsInName | Kněžná"", ""comment"": ""wrong_predicate: sentence claims river is located in Horní Vítkov, but triple only says Horní Vítkov contains Kněžná in its name""}]"
qwen3_5-122b__sk-qa_fi_hsb__Id139,3,hsb,"- Oľga Mihalčinová | hasSon | Matej Landl
- Matej Landl | isSonOf | Oľga Mihalčinová
- Matej Landl | hasProfession | actor","Oľga Mihalčinová je mać Mateja Landla, kotryž je dźiwadźelnik.",4,5,-1,theatre is unsupported,[]
gemma4-e2b__cs-qa_fa_en__Id10,2,en,- Kladensko | minedResource | uhlí,Kladensko is minedResource uhlí.,4,5,-1,,[]
gemma4-31B__cs-qa_cf_en__Id389,2,en,"- Komunistická strana Čech a Moravy | politicalIdeology | krajně levicová
- Komunistická strana Čech a Moravy | country | Pankrácká věznice
- Komunistická strana Čech a Moravy | type | politická strana
- Komunistická strana Čech a Moravy | foundingDate | 1990
- Komunistická strana Čech a Moravy | successorOf | Komunistická strana Československa","Komunistická strana Čech a Moravy is a political party founded in 1990 that is a successor of Komunistická strana Československa, has a far-left political ideology, and is located in Pankrácká věznice.",5,4,1,,"[{""info_used"": ""is located in Pankrácká věznice"", ""correct_info"": ""Komunistická strana Čech a Moravy | country | Pankrácká věznice"", ""comment"": ""wrong_predicate: the triple uses 'country', not a location predicate; 'is located in' changes the meaning""}]"
gemma4-e2b__cs-qa_cf_en__Id396,2,en,"- Česká hudební skupina | hasName | Nightwork
- Nightwork | activeFrom | 2006-01-01
- Nightwork | activeUntil | 1990
- Nightwork | hasMember | Jakub Prachař
- Nightwork | hasMember | Vojtěch Dyk","The Czech music group Nightwork has the name Nightwork, was active from 2006-01-01 until 1990, and has members Jakub Prachař and Vojtěch Dyk.",5,4,1,,"[{""info_used"": ""The Czech music group Nightwork has the name Nightwork"", ""correct_info"": ""Česká hudební skupina | hasName | Nightwork"", ""comment"": ""unsupported: The triple states that 'Česká hudební skupina' (Czech music group) has the name Nightwork, not that Nightwork itself has the name Nightwork. The sentence merges the subject and object into a single entity, creating a self-referential claim not present in the triples.""}]"
llama4-scout-openrouter__sk-qa_cf_en__Id318,2,en,- Múzeum školstva a pedagogiky | location | Pod Kráľovou hoľou,The Múzeum školstva a pedagogiky is located under Kráľová hoľou.,5,4,1,,"[{""info_used"": ""located under Kráľová hoľou"", ""correct_info"": ""Múzeum školstva a pedagogiky | location | Pod Kráľovou hoľou"", ""comment"": ""wrong_object: The triple says location is 'Pod Kráľovou hoľou' (a place name), but the sentence says 'under Kráľová hoľou', which changes the meaning.""}]"
qwen3-1_7b__cs-qa_fa_en__Id303,2,en,"- Andrej Babiš | owns | Mladá fronta
- Andrej Babiš | owns | mediální skupina Mafra
- Andrej Babiš | ownershipStartDate | 2013-01-01","Andrej Babiš owns the political party Mladá fronta and the media group Mafra, with the ownership starting on January 1, 2013.",4,3,1,hallucinated political party,"[{""info_used"": ""the political party Mladá fronta"", ""correct_info"": ""Andrej Babiš | owns | Mladá fronta"", ""comment"": ""over_specific: the triple does not state that Mladá fronta is a political party""}, {""info_used"": ""the media group Mafra"", ""correct_info"": ""Andrej Babiš | owns | mediální skupina Mafra"", ""comment"": ""unsupported: the triple states 'mediální skupina Mafra', not 'Mafra'""}]"
gpt-oss-120b__cs-qa_fi_hsb__Id86,3,hsb,"- 1. česká fotbalová liga | alternativeName | Fortuna Liga
- Fortuna Liga | validFrom | 2018-01-01
- Fortuna Liga | validTo | 27-10-1988",Česka fotbalowa liga ma alternatiwne mjeno Fortuna Liga. Fortuna Liga je płaćiwa wot 2018‑01‑01 do 27‑10‑1988.,4,5,-1,"""1."" missing",[]
qwen3_5-9b__cs-qa_fi_hsb__Id63,3,hsb,"- Břehovice | hasRiver | Jizera
- Jizera | flowsThrough | Břehovice","Břehowicy leža při rěce Jizera, kotraž jich přez wjesku płynie.",4,5,-1,wjeska unsupported,[]
llama4-scout__sk-qa_fi_en__Id54,3,en,"- Ľubochňa | isLocatedIn | Sokolia skala
- Sokolia skala | isTypeOf | okres","Ľubochňa is located in Sokolia skala, which is a district.",5,4,1,,"[{""info_used"": ""which is a district"", ""correct_info"": ""Sokolia skala | isTypeOf | okres"", ""comment"": ""unsupported: 'district' is not a faithful translation of 'okres'; the triple states it is a type of 'okres', not a district""}]"
gemma4-e2b__cs-qa_fi_hsb__Id151,1,hsb,"- Čeština 2.0 | isTypeOf | internetový slovník
- Čeština 2.0 | foundedBy | Daniel Vydro
- Čeština 2.0 | collects | nové české výrazy
- Čeština 2.0 | collects | novotvary",Čeština 2.0 je typ internetový slovník. Čeština 2.0 je založen na Daniel Vydro. Čeština 2.0 sbírá nové české výrazy. Čeština 2.0 sbírá novotvary.,3,4,-1,,"[{""info_used"": ""Čeština 2.0 je založen na Daniel Vydro."", ""correct_info"": ""Čeština 2.0 | foundedBy | Daniel Vydro"", ""comment"": ""wrong_predicate: 'založen na' (based on) does not match 'foundedBy' (founded by)""}]"
qwen3-1_7b__cs-qa_fi_en__Id150,3,en,"- Česko | usesPausalRateFor | jiných nez řemeslných živností
- jiných nez řemeslných živností | pausalRateForExpenses | 2501",Česko uses a pausal rate of 2501 for jiných nez řemeslných živností.,4,5,-1,missing for expenses,[]
llama4-scout__cs-qa_fi_en__Id150,3,en,"- Česko | usesPausalRateFor | jiných nez řemeslných živností
- jiných nez řemeslných živností | pausalRateForExpenses | 2501","Česko uses a pausal rate for other non-craft businesses, for which the pausal rate for expenses is 2501.",4,5,-1,"not other, but other than",[]
qwen3_5-122b__sk-qa_fa_cs__Id105,1,cs,"- Vrútky | locationOfConfluence | Váh A Turiec
- Váh | riverInConfluence | Turiec
- Váh A Turiec | confluenceLocation | Vrútky","Vrútky jsou místem soutoku řek Váh a Turiec, přičemž Váh je v tomto soutoku přítokem řeky Turiec.",3,2,1,,"[{""info_used"": ""Váh je v tomto soutoku přítokem řeky Turiec"", ""correct_info"": ""Váh | riverInConfluence | Turiec"", ""comment"": ""reverse""}]"
qwen3_5-122b__cs-qa_fa_cs__Id162,1,cs,- CHKO Český kras | partiallyLocatedIn | Praha,CHKO Český kras je částečně situována v Praze.,4,5,-1,,[]
tiny-aya-global__cs-qa_fa_cs__Id8,1,cs,"- Karel Gott | nationality | český
- Karel Gott | profession | zpěvák
- Karel Gott | award | Zlatý slavík
- Karel Gott | awardCount | 1
- Zlatý slavík | awardFrequency | nejvíckrát","Karel Gott je český zpěvák, který získal cenu Zlatý slavík, a to nejvíckrát.",4,3,1,,"[{""info_used"": ""získal cenu Zlatý slavík, a to nejvíckrát"", ""correct_info"": ""Karel Gott | awardCount | 1; Zlatý slavík | awardFrequency | nejvíckrát"", ""comment"": ""over_specific: The sentence claims Karel Gott won Zlatý slavík the most times, but the triples only state he won it once and that the award itself has the property 'nejvíckrát' (most times), without linking that property to Karel Gott.""}]"
qwen3_5-9b__cs-qa_cf_cs__Id389,1,cs,"- Komunistická strana Čech a Moravy | politicalIdeology | krajně levicová
- Komunistická strana Čech a Moravy | country | Pankrácká věznice
- Komunistická strana Čech a Moravy | type | politická strana
- Komunistická strana Čech a Moravy | foundingDate | 1990
- Komunistická strana Čech a Moravy | successorOf | Komunistická strana Československa","Komunistická strana Čech a Moravy je krajně levicová politická strana, která vznikla v roce 1990 jako nástupkyně Komunistické strany Československa a sídlí v Pankrácké věznici.",3,4,-1,,"[{""info_used"": ""sídlí v Pankrácké věznici"", ""correct_info"": ""Komunistická strana Čech a Moravy | country | Pankrácká věznice"", ""comment"": ""wrong_predicate: triple says 'country' (which is likely a data error for location), but the sentence claims 'sídlí v' (headquartered in), which is a different relationship.""}]"
qwen3_5-122b__cs-qa_cf_en__Id341,4,en,"- Masarykova univerzita | sizeRank | 2
- Masarykova univerzita | foundingRank | 2
- Masarykova univerzita | country | Děčín","Masarykova univerzita holds the second size rank, the second founding rank, and is located in Děčín.",5,4,1,,"[{""info_used"": ""is located in Děčín"", ""correct_info"": ""Masarykova univerzita | country | Děčín"", ""comment"": ""wrong_predicate: the triple states 'country' not 'location', and Děčín is a city, not a country; the sentence asserts a location relationship not supported by the triple""}]"
gemma4-31B__cs-qa_cf_en__Id474,4,en,"- budova hlavního nádraží v Praze | locationType | jihočeské město
- budova hlavního nádraží v Praze | liesAtRiver | Blanice",The budova hlavního nádraží v Praze is located in a South Bohemian town and lies at the Blanice river.,5,4,1,,"[{""info_used"": ""located in a South Bohemian town"", ""correct_info"": ""budova hlavního nádraží v Praze | locationType | jihočeské město"", ""comment"": ""unsupported: the triple says the location type is a South Bohemian town, not that the entity is located in one""}]"
gemma4-e4b__cs-qa_cf_en__Id2,4,en,"- Ministryně zahraničí Spojených států | originCountry | Horoušany
- Ministryně zahraničí Spojených států | name | Madeleine Albrightová",The Ministry of Foreign Affairs of the United States has the origin country Horoušany and the name Madeleine Albrightová.,3,4,-1,,"[{""info_used"": ""The Ministry of Foreign Affairs of the United States"", ""correct_info"": ""Ministryně zahraničí Spojených států"", ""comment"": ""wrong_object: The subject is 'Ministryně zahraničí Spojených států' (Minister of Foreign Affairs of the United States), not 'Ministry of Foreign Affairs'.""}]"
tiny-aya-global__cs-qa_fa_en__Id181,4,en,"- Devětsil | isA | umělecký svaz
- Devětsil | originCountry | Česko
- Devětsil | politicalAlignment | levicový
- Devětsil | activeFrom | 1920-01-01
- Devětsil | activeUntil | 1930-12-31","Devětsil is a Czech artistic union founded in 1920, operating from 1920 to 1931, and is left-leaning.",5,4,1,,"[{""info_used"": ""operating from 1920 to 1931"", ""correct_info"": ""Devětsil | activeFrom | 1920-01-01 ; Devětsil | activeUntil | 1930-12-31"", ""comment"": ""wrong_object: The sentence states the end year as 1931, but the triple gives 1930-12-31.""}]"
llama4-scout-openrouter__cs-qa_cf_cs__Id325,1,cs,"- Československý válečný kříž 1939 | isA | vojenské vyznamenání
- Československý válečný kříž 1939 | country | Liberecký kraj
- Československý válečný kříž 1939 | awardedFor | prokázání vynikajícího činu v nebezpečí života
- Československý válečný kříž 1939 | awardedFor | obětování života
- Československý válečný kříž 1939 | foundingDate | 1939","Československý válečný kříž 1939 je vojenské vyznamenání, které bylo založeno v roce 1939 a uděluje se za prokázání vynikajícího činu v nebezpečí života nebo za obětování života, zejména v Libereckém kraji.",3,4,-1,,"[{""info_used"": ""zejména v Libereckém kraji"", ""correct_info"": ""Československý válečný kříž 1939 | country | Liberecký kraj"", ""comment"": ""over_specific: the triple states the country is Liberecký kraj, but the sentence adds 'zejména' (especially), implying it is awarded primarily there, which is not supported.""}]"
gemma4-31B__cs-qa_fi_en__Id410,3,en,"- Karel Kryl | nationality | Československý
- Karel Kryl | occupation | autor
- Karel Kryl | created | protikomunistické protestní písničky
- Karel Kryl | numberOf | mnoha
- Karel Kryl | released | 06-02-2024
- Karel Kryl | firstLP | Bratříčku zavírej vrátka","Karel Kryl was a Czechoslovak author who created many anti-communist protest songs, released Bratříčku zavírej vrátka as his first LP, and was released on 06-02-2024.",5,4,1,,"[{""info_used"": ""Karel Kryl was a Czechoslovak author"", ""correct_info"": ""Karel Kryl | nationality | Československý; Karel Kryl | occupation | autor"", ""comment"": ""supported""}, {""info_used"": ""who created many anti-communist protest songs"", ""correct_info"": ""Karel Kryl | created | protikomunistické protestní písničky; Karel Kryl | numberOf | mnoha"", ""comment"": ""supported""}, {""info_used"": ""released Bratříčku zavírej vrátka as his first LP"", ""correct_info"": ""Karel Kryl | firstLP | Bratříčku zavírej vrátka"", ""comment"": ""supported""}, {""info_used"": ""was released on 06-02-2024"", ""correct_info"": ""Karel Kryl | released | 06-02-2024"", ""comment"": ""unsupported: the triple states Karel Kryl released something on that date, not that he was released""}]"
llama4-scout__cs-qa_fi_en__Id156,1,en,"- Odrůda David | isCultivarOf | hrušeň
- Odrůda David | breedingLocation | Česko
- Odrůda David | ripeningMonth | 23-05-2024","The apple cultivar 'Odrůda David' is a cultivar of the pear, was bred in Česko, and is set to ripen on 23-05-2024.",5,4,1,,"[{""info_used"": ""The apple cultivar 'Odrůda David' is a cultivar of the pear"", ""correct_info"": ""Odrůda David | isCultivarOf | hrušeň"", ""comment"": ""unsupported: the sentence adds 'apple cultivar' and 'pear', but the triple only states it is a cultivar of 'hrušeň' (pear tree), not that it is an apple cultivar or that the object is simply 'pear'.""}]"
gpt-oss-120b__cs-qa_fi_en__Id3,1,en,"- svátek svatého Mikuláše | associatedWith | rozdávání dárků dětem
- svátek svatého Mikuláše | celebrationDate | 28-02-1991
- svátek svatého Mikuláše | celebrationTime | večer","The svátek svatého Mikuláše is associated with giving gifts to children, and it is celebrated on 28-02-1991 in the evening.",4,5,-1,,"[{""info_used"": ""giving gifts to children"", ""correct_info"": ""rozdávání dárků dětem"", ""comment"": ""unsupported: the sentence paraphrases the object as 'giving gifts to children', which is a faithful translation of the triple's object 'rozdávání dárků dětem'.""}]"
